"File","Line","ClassFunction","GrannyTypeOrSymbol","Purpose","Category","MigrationD1X","ReferenceKind","Source"
"android/README.md","4","file scope","Granny","Legacy model resource/instance API consumption or dependency declaration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","assets, gameplay, audio, Python, Granny or SpeedTree dependency. The Android sources,"
"buildtool/PlatformTargetAudit.cmake","15","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","foreach(forbidden UserInterface M2Platform M2PlatformWindowsFeatures WindowsInput WebView Granny SpeedTree Python"
"CMakeLists.txt","80","file scope","BUILDING_GRANNY_STATIC;GRANNY_THREADED","Build linkage, source-target ownership or platform boundary configuration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","USE_LOD DUNGEON_WORK BUILDING_GRANNY_STATIC GRANNY_THREADED Py_NO_ENABLE_SHARED"
"extern/library/Granny/CMakeLists.txt","1","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","add_library(Granny STATIC IMPORTED GLOBAL)"
"extern/library/Granny/CMakeLists.txt","3","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","set_target_properties(Granny PROPERTIES"
"extern/library/Granny/CMakeLists.txt","5","file scope","granny2","Build linkage, source-target ownership or platform boundary configuration","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","IMPORTED_LOCATION ""${CMAKE_CURRENT_LIST_DIR}/granny2_static.lib"""
"src/AssetRuntime/CMakeLists.txt","7","file scope","EterGrnLib;Granny;GrannyAssetProvider","Runtime/build boundary reference","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","add_library(AssetRuntimeGranny STATIC Granny/GrannyAssetProvider.cpp ../EterGrnLib/Deform.cpp)"
"src/AssetRuntime/CMakeLists.txt","8","file scope","Granny","Runtime/build boundary reference","J","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","build/tool/documentation","target_link_libraries(AssetRuntimeGranny PUBLIC AssetRuntime PRIVATE Granny M2FirstPartyArchitectureChecks)"
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","1","file scope","GrannyAssetProvider","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","include","#include ""GrannyAssetProvider.h"""
"src/AssetRuntime/Granny/GrannyAssetProvider.cpp","2","file scope","GrannyInterop","Private format adapter: native file, metadata, sessions, controls, bindings or CPU fallback","A","D1-X state: private SDK adapter, explicit legacy reference entrypoint, compatibility wrapper or tooling; see main report exceptions","include","#include ""GrannyInterop.h"""
