"File","Line","ClassFunction","GrannyTypeOrSymbol","Purpose","Category","MigrationD1X","ReferenceKind","Source"
"android/README.md","4","file scope","Granny","Legacy model resource/instance API consumption or dependency declaration","J","Keep/update documented tooling or build boundary","build/tool/documentation","assets, gameplay, audio, Python, Granny or SpeedTree dependency. The Android sources,"
"buildtool/PlatformTargetAudit.cmake","15","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","foreach(forbidden UserInterface M2Platform M2PlatformWindowsFeatures WindowsInput WebView Granny SpeedTree Python"
"CMakeLists.txt","80","file scope","BUILDING_GRANNY_STATIC;GRANNY_THREADED","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","USE_LOD DUNGEON_WORK BUILDING_GRANNY_STATIC GRANNY_THREADED Py_NO_ENABLE_SHARED"
"extern/library/Granny/CMakeLists.txt","1","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","add_library(Granny STATIC IMPORTED GLOBAL)"
"extern/library/Granny/CMakeLists.txt","3","file scope","Granny","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","set_target_properties(Granny PROPERTIES"
"extern/library/Granny/CMakeLists.txt","5","file scope","granny2","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","IMPORTED_LOCATION ""${CMAKE_CURRENT_LIST_DIR}/granny2_static.lib"""
"src/CMakeLists.txt","7","file scope","EterGrnLib","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","add_subdirectory(EterGrnLib)"
"src/EterGrnLib/CMakeLists.txt","3","file scope","EterGrnLib","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","add_library(EterGrnLib STATIC ${FILE_SOURCES})"
"src/EterGrnLib/CMakeLists.txt","5","file scope","EterGrnLib","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","target_link_libraries(EterGrnLib"
"src/EterGrnLib/CMakeLists.txt","9","file scope","EterGrnLib","Build linkage, source-target ownership or platform boundary configuration","J","Keep/update documented tooling or build boundary","build/tool/documentation","GroupSourcesByFolder(EterGrnLib)"
"src/EterGrnLib/Deform.cpp","32","file scope","granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","G","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_uint8 weight,"
"src/EterGrnLib/Deform.cpp","53","DeformPWNT3432toGrannyPNGBT33332D","granny_int32x","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","G","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","void DeformPWNT3432toGrannyPNGBT33332D(granny_int32x Count, void const* SourceInit, void* DestInit,"
"src/EterGrnLib/Deform.cpp","54","DeformPWNT3432toGrannyPNGBT33332D","granny_matrix_4x4","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","G","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","granny_matrix_4x4 const* Transforms,"
"src/EterGrnLib/Deform.cpp","55","DeformPWNT3432toGrannyPNGBT33332D","granny_int32x","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","G","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","granny_int32x SourceStride, granny_int32x DestStride)"
"src/EterGrnLib/Deform.cpp","57","DeformPWNT3432toGrannyPNGBT33332D","granny_pwnt3432_vertex","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","B","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_pwnt3432_vertex* src = (const granny_pwnt3432_vertex*)SourceInit;"
"src/EterGrnLib/Deform.cpp","58","DeformPWNT3432toGrannyPNGBT33332D","granny_pnt332_vertex","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","B","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","granny_pnt332_vertex* dst = (granny_pnt332_vertex*)DestInit;"
"src/EterGrnLib/Deform.cpp","70","DeformPWNT3432toGrannyPNGBT33332D","granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","D","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_uint8 w0 = src->BoneWeights[0];"
"src/EterGrnLib/Deform.cpp","71","DeformPWNT3432toGrannyPNGBT33332D","granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","D","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_uint8 w1 = src->BoneWeights[1];"
"src/EterGrnLib/Deform.cpp","72","DeformPWNT3432toGrannyPNGBT33332D","granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","D","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_uint8 w2 = src->BoneWeights[2];"
"src/EterGrnLib/Deform.cpp","73","DeformPWNT3432toGrannyPNGBT33332D","granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","D","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","const granny_uint8 w3 = src->BoneWeights[3];"
"src/EterGrnLib/Deform.cpp","114","DeformPWNT3432toGrannyPNGBT33332D","granny_pwnt3432_vertex;granny_uint8","Native CPU reference/fallback SSE deformer; mathematics remains unchanged","B","Retain explicitly named legacy CPU adapter; no math rewrite","SDK/adapter symbol","src = (const granny_pwnt3432_vertex*)((const granny_uint8*)src + SourceStride);"
