path,sha256,asset_type,usage_before,usage_after,cluster,reader_site,field,before,before_error,after,after_error,packed_native,granny_load,section_type_field_evidence,granny_reference_evidence
NPC/ymir work/npc/doctor/die.gr2,c8647d6015ed90cc614b4e83ef0c1112a82cfe502c2878ef992a6bcded65d022,NPC model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Bip01 flags=3 section:offset=0:180 type=6:4064 | PeriodicLoop section:offset=0:66216 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3;,REF_GROUP 0 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=2.24895 1.39426 -1.09858 rotation=-0.0306391 0.0397699 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=2.24895 1.39426 -1.09858 rotation=-0.0306391 0.0397699 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=2.24895 1.39426 -1.09858 rotation=-0.0306391 0.0397699 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=2.24895 1.39426 -1.09858 rotation=-0.0306391 0.0397699 0
PC/ymir work/pc/assassin/assassin.gr2,58fa44e7a0ec996a81cc9e50992ca485889cff8256ca83b60a5b61c96cbaf34e,player model,usage unresolved,usage unresolved,skeleton_forest,GR2ModelReader.cpp: Read / RuntimeSkeleton::Initialize,Skeleton.Bones[].ParentIndex,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,parsed,,1,1,"BONE index=0 parent=-1 name=""assasin_low"" section:offset=0:2640 type=6:32992 | BONE index=1 parent=-1 name=""Bip01"" section:offset=0:2796 type=6:32992 | MESH assasin_low vertex_count=2429 indices=6822 index16=0 groups=2 section:offset=0:38128 type=6:34240 | MESH Object14 vertex_count=136 indices=312 index16=0 groups=1 section:offset=0:37492 type=6:34240 | MESH Object01 vertex_count=53 indices=249 index16=0 groups=1 section:offset=0:37360 type=6:34240 | MESH Object05 vertex_count=344 indices=468 index16=0 groups=1 section:offset=0:36760 type=6:34240 | MESH Object02 vertex_count=106 indices=249 index16=0 groups=1 section:offset=0:36628 type=6:34240 | MESH Object03 vertex_count=68 indices=312 index16=0 groups=1 section:offset=0:35992 type=6:34240 | MESH Object04 vertex_count=170 indices=468 index16=0 groups=1 section:offset=0:35392 type=6:34240 | MESH Object09 vertex_count=126 indices=498 index16=0 groups=1 section:offset=0:32596 type=6:34240 | MESH Object10 vertex_count=240 indices=684 index16=0 groups=1 section:offset=0:29764 type=6:34240 | MESH Object06 vertex_count=152 indices=198 index16=0 groups=1 section:offset=0:29596 type=6:34240 | MESH Object07 vertex_count=76 indices=198 index16=0 groups=1 section:offset=0:29428 type=6:34240 | MESH Object08 vertex_count=99 indices=78 index16=0 groups=1 section:offset=0:26524 type=6:34240 | MESH Object13 vertex_count=34 indices=156 index16=0 groups=1 section:offset=0:26356 type=6:34240 | MESH Object11 vertex_count=96 indices=459 index16=0 groups=1 section:offset=0:26152 type=6:34240 | MESH Object12 vertex_count=192 indices=459 index16=0 groups=1 section:offset=0:25948 type=6:34240 | MESH Object15 vertex_count=169 indices=720 index16=0 groups=1 section:offset=0:24016 type=6:34240 | MESH Plane01 vertex_count=25 indices=96 index16=0 groups=1 section:offset=0:21184 type=6:34240",
PC/ymir work/pc/sura/general/run10.gr2,fc22b8821006dc5040dd366be446d0a68189552c8f329dd1e8b11d7c5c930c1f,player animation,usage unresolved,usage unresolved,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Bip01 flags=3 section:offset=0:180 type=6:4064 | PeriodicLoop section:offset=0:27408 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3;,REF_GROUP 0 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=44.3855 2.08202 4.75805 rotation=5.00232e-11 0 2.44869e-10 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=44.3855 2.08202 4.75805 rotation=5.00232e-11 0 2.44869e-10 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=44.3855 2.08202 4.75805 rotation=5.00232e-11 0 2.44869e-10 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=44.3855 2.08202 4.75805 rotation=5.00232e-11 0 2.44869e-10
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/run.gr2,651249f9d63e75bbf243d3988c35f61fd8e1e1943e10eff8a89ae1450ec7fc54,mob model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP IK Chain04 flags=3 section:offset=0:196 type=6:4064 | PeriodicLoop section:offset=0:676 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain03 flags=3 section:offset=0:724 type=6:4064 | PeriodicLoop section:offset=0:1204 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain02 flags=3 section:offset=0:1252 type=6:4064 | PeriodicLoop section:offset=0:1732 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain01 flags=3 section:offset=0:1780 type=6:4064 | PeriodicLoop section:offset=0:2260 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Bip01 flags=3 section:offset=0:2308 type=6:4064,REF_GROUP 4 loop=0 -143.484 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 -19.566 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 -19.566 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 -19.566 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 -19.566 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/walk.gr2,2e3db8c7f09c91fafeeac1ee428889d44f71e48dc52cb72c08e327b5b774ab47,mob model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP IK Chain04 flags=3 section:offset=0:196 type=6:4064 | PeriodicLoop section:offset=0:932 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain03 flags=3 section:offset=0:980 type=6:4064 | PeriodicLoop section:offset=0:1716 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain02 flags=3 section:offset=0:1764 type=6:4064 | PeriodicLoop section:offset=0:2500 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain01 flags=3 section:offset=0:2548 type=6:4064 | PeriodicLoop section:offset=0:3284 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Bip01 flags=3 section:offset=0:3332 type=6:4064,REF_GROUP 4 loop=0 -175 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 -17.5 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 -17.5 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 -17.5 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 -17.5 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/run.gr2,e284ccd3960ef8edd377a3c6fcbc220b2e6914ff106b2563ea1b33697a33a310,mob model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP IK Chain02 flags=3 section:offset=0:196 type=6:4064 | GROUP IK Chain01 flags=3 section:offset=0:696 type=6:4064 | GROUP IK Chain03 flags=3 section:offset=0:1196 type=6:4064 | PeriodicLoop section:offset=0:1676 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain04 flags=3 section:offset=0:1724 type=6:4064 | GROUP Bip01 flags=3 section:offset=0:2224 type=6:4064,REF_GROUP 4 loop=-0.0165 -150 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=-0.00225 -20.4545 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=-0.00225 -20.4545 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=-0.00225 -20.4545 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=-0.00225 -20.4545 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/walk.gr2,d159e699f3d134882cb49d7c88328678ef3dce5b0faf40a6c28e98ad7026e30f,mob model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP IK Chain02 flags=3 section:offset=0:196 type=6:4064 | GROUP IK Chain01 flags=3 section:offset=0:952 type=6:4064 | GROUP IK Chain03 flags=3 section:offset=0:1708 type=6:4064 | PeriodicLoop section:offset=0:2444 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP IK Chain04 flags=3 section:offset=0:2492 type=6:4064 | GROUP Bip01 flags=3 section:offset=0:3200 type=6:4064,REF_GROUP 4 loop=0 -150 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 -15 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 -15 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 -15 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 -15 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss1/normal_attack.gr2,dbce93b303e2ce3853b1de6b788a56f9381b252ffb0f7ca61459411af4d2a8f3,boss model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Bip01 flags=3 section:offset=0:180 type=6:4064 | PeriodicLoop section:offset=0:73328 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3;,REF_GROUP 0 loop=0 0 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 0 0 rotation=8.91025e-10 1.78205e-09 -1.51852e-11 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 0 0 rotation=8.91025e-10 1.78205e-09 -1.51852e-11 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 0 0 rotation=8.91025e-10 1.78205e-09 -1.51852e-11 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 0 0 rotation=8.91025e-10 1.78205e-09 -1.51852e-11
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/run.gr2,7fda7b77f51d706fa4b02d5e75ca27f0ad92f726da77b10414f123e5d7575b94,boss model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Point03 flags=3 section:offset=0:188 type=6:4064 | PeriodicLoop section:offset=0:1604 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Point02 flags=3 section:offset=0:1652 type=6:4064 | PeriodicLoop section:offset=0:3068 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Bip01 flags=3 section:offset=0:3116 type=6:4064,REF_GROUP 2 loop=0 -833 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 -78.0938 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 -78.0937 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 -78.0937 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 -78.0938 0 rotation=0 0 0
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/walk.gr2,02c7ba2f21be074afafd497131721fce9f07bcccb3a1389c281038a59e4d7277,boss model/animation,production,production,periodic_loop,GR2AnimationReader.cpp: ReadAnimation,TrackGroup.PeriodicLoop,unsupported curve/type,periodic or explicit root motion,parsed,,1,1,GROUP Point03 flags=3 section:offset=0:188 type=6:4064 | PeriodicLoop section:offset=0:1604 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Point02 flags=3 section:offset=0:1652 type=6:4064 | PeriodicLoop section:offset=0:3048 type_address=6:5056 type=48:Radius/10x1;dAngle/10x1;dZ/10x1;BasisX/10x3;BasisY/10x3;Axis/10x3; | GROUP Bip01 flags=3 section:offset=0:3096 type=6:4064,REF_GROUP 2 loop=0 -577 0 | REF_SAMPLE fraction=0 nan_bones=0 translation=0 -54.0938 0 rotation=0 0 0 | REF_SAMPLE fraction=0.25 nan_bones=0 translation=0 -54.0937 0 rotation=0 0 0 | REF_SAMPLE fraction=0.5 nan_bones=0 translation=0 -54.0937 0 rotation=0 0 0 | REF_SAMPLE fraction=1.1 nan_bones=0 translation=0 -54.0938 0 rotation=0 0 0
