ID;Alt;Neue Basis;Kategorie;Entscheidung;Hinweis;Maps;Quelle;2K Download
0;d:/ymir work/terrainmaps/a/grass/grass 01.dds;Grass003;Gras & Waldboden;Neuer Vorschlag;"Trockener Grundton bleibt erkennbar; nicht auf das frische Grün von Grass004 angleichen.";map_a2, metin2_map_guild_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Grass003;https://ambientcg.com/get?file=Grass003_2K-PNG.zip
1;d:/ymir work/terrainmaps/a/grass/grass 02.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";map_a2, metin2_map_guild_01, season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01, season2/metin2_map_a2_1;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
2;d:/ymir work/terrainmaps/a/grass/grass 03.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
3;d:/ymir work/terrainmaps/b/grass/grass 01.dds;Grass004;Gras & Waldboden;Grasbasis freigegeben;Das bereits freigegebene dunkelgrüne Grass004 bleibt für diese Hauptgrasfläche erhalten. Andere Gras-Layer erhalten eigene passende Strukturen.;map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_milgyo, metin2_map_t1, season1/metin2_map_ew02, season1/metin2_map_sungzi, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Grass004;https://ambientcg.com/get?file=Grass004_2K-PNG.zip
4;d:/ymir work/terrainmaps/b/grass/grass 01_01.dds;Grass003;Gras & Waldboden;Neuer Vorschlag;"Trockener Grundton bleibt erkennbar; nicht auf das frische Grün von Grass004 angleichen.";gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://ambientcg.com/a/Grass003;https://ambientcg.com/get?file=Grass003_2K-PNG.zip
5;d:/ymir work/terrainmaps/b/grass/grass 01_02.dds;Grass002;Gras & Waldboden;Neuer Vorschlag;"Als eigene Struktur für üppige Flächen; Blattgröße beim Einbau prüfen.";metin2_map_milgyo, season1/metin2_map_sungzi_milgyo, season1/metin2_map_sungzi_milgyo_pass_01, season1/metin2_map_sungzi_milgyo_pass_02, season1/metin2_map_sungzi_milgyo_pass_03, season2/metin2_map_milgyo_a;https://ambientcg.com/a/Grass002;https://ambientcg.com/get?file=Grass002_2K-PNG.zip
6;d:/ymir work/terrainmaps/b/grass/grass 02.dds;Grass001;Gras & Waldboden;Neuer Vorschlag;"Kühler und feiner als Grass004; keine braunen Übergänge damit überdecken.";map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Grass001;https://ambientcg.com/get?file=Grass001_2K-PNG.zip
7;d:/ymir work/terrainmaps/b/grass/grass 02_01.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01, season1/metin2_map_nusluck01, season1/metin2_map_oxevent, season1/metin2_map_wl_01;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
8;d:/ymir work/terrainmaps/b/grass/grass 03.dds;Grass002;Gras & Waldboden;Neuer Vorschlag;"Als eigene Struktur für üppige Flächen; Blattgröße beim Einbau prüfen.";map_b_fielddungeon, metin2_map_a1, metin2_map_b1, metin2_map_c1, metin2_map_duel, metin2_map_guild_02, metin2_map_guild_03, metin2_map_t1, metin2_map_t2, season1/metin2_map_ew02, season1/metin2_map_shinsutest_01, season1/metin2_map_siege_01, season1/metin2_map_siege_02, season1/metin2_map_siege_03, season1/metin2_map_sungzi;https://ambientcg.com/a/Grass002;https://ambientcg.com/get?file=Grass002_2K-PNG.zip
9;d:/ymir work/terrainmaps/b/grass/grass 03_01.dds;sparse_grass;Gras & Waldboden;Neuer Vorschlag;"Braun und Grün bleiben gemischt; passt zu trockenen Übergängen statt dichtem Rasen.";gm_guild_build, metin2_map_a3, metin2_map_b3, metin2_map_c3, metin2_map_wedding_01;https://polyhaven.com/a/sparse_grass;https://dl.polyhaven.org/file/ph-assets/Textures/png/2k/sparse_grass/sparse_grass_diff_2k.png
