"Revision","Scope","Metric","Occurrences","MatchingLines","Files"
"WORKTREE","source","audited_files","679","679","679"
"WORKTREE","headers","audited_files","330","330","330"
"WORKTREE","core","audited_files","666","666","666"
"WORKTREE","core_headers","audited_files","328","328","328"
"WORKTREE","cmake","audited_files","25","25","25"
"WORKTREE","source","platform_layer_files","21","21","21"
"WORKTREE","source","windows_header_includes","26","26","26"
"WORKTREE","core","windows_header_includes","17","17","17"
"WORKTREE","source","windows_family_header_includes","51","51","38"
"WORKTREE","core","windows_family_header_includes","35","35","26"
"WORKTREE","headers","windows_family_header_includes_in_headers","21","21","14"
"WORKTREE","core_headers","windows_family_header_includes_in_headers","18","18","12"
"WORKTREE","source","directinput_header_includes","1","1","1"
"WORKTREE","core","directinput_header_includes","0","0","0"
"WORKTREE","source","winsock_header_includes","3","3","3"
"WORKTREE","core","winsock_header_includes","2","2","2"
"WORKTREE","source","shell_header_includes","4","4","4"
"WORKTREE","core","shell_header_includes","3","3","3"
"WORKTREE","source","diagnostics_header_includes","3","3","3"
"WORKTREE","core","diagnostics_header_includes","3","3","3"
"WORKTREE","source","media_header_includes","7","7","7"
"WORKTREE","core","media_header_includes","3","3","3"
"WORKTREE","source","windows_native_handle_types","143","94","27"
"WORKTREE","core","windows_native_handle_types","101","61","19"
"WORKTREE","headers","windows_native_handle_types_in_headers","35","15","4"
"WORKTREE","core_headers","windows_native_handle_types_in_headers","35","15","4"
"WORKTREE","source","window_event_api_calls","60","59","17"
"WORKTREE","core","window_event_api_calls","28","27","15"
"WORKTREE","source","time_sleep_api_calls","27","27","10"
"WORKTREE","core","time_sleep_api_calls","23","23","9"
"WORKTREE","source","win32_thread_sync_api_calls","17","17","3"
"WORKTREE","core","win32_thread_sync_api_calls","17","17","3"
"WORKTREE","source","winsock_api_calls","28","28","5"
"WORKTREE","core","winsock_api_calls","24","24","4"
"WORKTREE","headers","winsock_native_types_in_headers","3","3","1"
"WORKTREE","core_headers","winsock_native_types_in_headers","0","0","0"
"WORKTREE","source","dynamic_library_api_calls","5","5","2"
"WORKTREE","core","dynamic_library_api_calls","1","1","1"
"WORKTREE","source","registry_api_calls","11","11","2"
"WORKTREE","core","registry_api_calls","11","11","2"
"WORKTREE","source","cursor_clipboard_shell_api_calls","37","37","12"
"WORKTREE","core","cursor_clipboard_shell_api_calls","12","12","9"
"WORKTREE","source","win32_file_api_calls","35","35","11"
"WORKTREE","core","win32_file_api_calls","17","17","9"
"WORKTREE","source","current_directory_api_calls","8","8","3"
"WORKTREE","core","current_directory_api_calls","5","5","1"
"WORKTREE","source","c_stdio_file_calls","44","44","29"
"WORKTREE","core","c_stdio_file_calls","43","43","28"
"WORKTREE","source","std_file_stream_uses","27","27","13"
"WORKTREE","core","std_file_stream_uses","27","27","13"
"WORKTREE","source","std_filesystem_uses","12","11","5"
"WORKTREE","core","std_filesystem_uses","8","8","3"
"WORKTREE","source","backslash_path_tokens","29","28","7"
"WORKTREE","core","backslash_path_tokens","26","25","6"
"WORKTREE","source","absolute_drive_path_literals","1","1","1"
"WORKTREE","core","absolute_drive_path_literals","1","1","1"
"WORKTREE","source","directinput_symbols","362","241","6"
"WORKTREE","core","directinput_symbols","359","239","5"
"WORKTREE","source","webview2_symbols","15","14","1"
"WORKTREE","core","webview2_symbols","0","0","0"
"WORKTREE","source","directshow_video_symbols","28","26","5"
"WORKTREE","core","directshow_video_symbols","7","7","2"
"WORKTREE","source","debug_diagnostics_api_calls","17","17","6"
"WORKTREE","core","debug_diagnostics_api_calls","17","17","6"
"WORKTREE","source","platform_preprocessor_directives","2","2","1"
"WORKTREE","core","platform_preprocessor_directives","2","2","1"
"WORKTREE","source","msvc_preprocessor_directives","18","18","17"
"WORKTREE","core","msvc_preprocessor_directives","18","18","17"
"WORKTREE","cmake","cmake_win32_conditions","3","3","3"
"WORKTREE","cmake","cmake_msvc_conditions","3","3","1"
"WORKTREE","cmake","cmake_msvc_settings","12","12","2"
"WORKTREE","cmake","cmake_windows_link_items","14","11","4"
"WORKTREE","cmake","cmake_recursive_source_globs","21","21","20"
"WORKTREE","cmake","cmake_win32_executable_targets","1","1","1"
