"Revision","Scope","Metric","Occurrences","MatchingLines","Files"
"9aa71a2674e271becd586743ab02019a68900348","source","audited_files","654","654","654"
"9aa71a2674e271becd586743ab02019a68900348","headers","audited_files","316","316","316"
"9aa71a2674e271becd586743ab02019a68900348","core","audited_files","654","654","654"
"9aa71a2674e271becd586743ab02019a68900348","core_headers","audited_files","316","316","316"
"9aa71a2674e271becd586743ab02019a68900348","cmake","audited_files","24","24","24"
"9aa71a2674e271becd586743ab02019a68900348","source","platform_layer_files","0","0","0"
"9aa71a2674e271becd586743ab02019a68900348","source","windows_header_includes","21","21","21"
"9aa71a2674e271becd586743ab02019a68900348","core","windows_header_includes","21","21","21"
"9aa71a2674e271becd586743ab02019a68900348","source","windows_family_header_includes","42","42","34"
"9aa71a2674e271becd586743ab02019a68900348","core","windows_family_header_includes","42","42","34"
"9aa71a2674e271becd586743ab02019a68900348","headers","windows_family_header_includes_in_headers","23","23","18"
"9aa71a2674e271becd586743ab02019a68900348","core_headers","windows_family_header_includes_in_headers","23","23","18"
"9aa71a2674e271becd586743ab02019a68900348","source","directinput_header_includes","1","1","1"
"9aa71a2674e271becd586743ab02019a68900348","core","directinput_header_includes","1","1","1"
"9aa71a2674e271becd586743ab02019a68900348","source","winsock_header_includes","2","2","2"
"9aa71a2674e271becd586743ab02019a68900348","core","winsock_header_includes","2","2","2"
"9aa71a2674e271becd586743ab02019a68900348","source","shell_header_includes","4","4","4"
"9aa71a2674e271becd586743ab02019a68900348","core","shell_header_includes","4","4","4"
"9aa71a2674e271becd586743ab02019a68900348","source","diagnostics_header_includes","3","3","3"
"9aa71a2674e271becd586743ab02019a68900348","core","diagnostics_header_includes","3","3","3"
"9aa71a2674e271becd586743ab02019a68900348","source","media_header_includes","3","3","3"
"9aa71a2674e271becd586743ab02019a68900348","core","media_header_includes","3","3","3"
"9aa71a2674e271becd586743ab02019a68900348","source","windows_native_handle_types","182","116","38"
"9aa71a2674e271becd586743ab02019a68900348","core","windows_native_handle_types","182","116","38"
"9aa71a2674e271becd586743ab02019a68900348","headers","windows_native_handle_types_in_headers","72","42","15"
"9aa71a2674e271becd586743ab02019a68900348","core_headers","windows_native_handle_types_in_headers","72","42","15"
"9aa71a2674e271becd586743ab02019a68900348","source","window_event_api_calls","66","66","17"
"9aa71a2674e271becd586743ab02019a68900348","core","window_event_api_calls","66","66","17"
"9aa71a2674e271becd586743ab02019a68900348","source","time_sleep_api_calls","70","70","21"
"9aa71a2674e271becd586743ab02019a68900348","core","time_sleep_api_calls","70","70","21"
"9aa71a2674e271becd586743ab02019a68900348","source","win32_thread_sync_api_calls","17","17","3"
"9aa71a2674e271becd586743ab02019a68900348","core","win32_thread_sync_api_calls","17","17","3"
