"file","line","directive","owner_or_context","classification","reason","c2x_action","result_status","baseline_revision"
"src/EterBase/StdAfx.h","27","#if _MSC_VER >= 1400","EterBase precompiled header CRT aliases","Unnötig","all supported x64 MSVC versions take the same CRT alias branch","remove the version branch when the umbrella header is decomposed; preserve aliases only at remaining legacy call sites","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterImageLib/StdAfx.h","9","#if _MSC_VER > 1000","EterImageLib header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Camera.h","8","#if _MSC_VER > 1000","CCamera header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/Decal.h","8","#if _MSC_VER > 1000","CDecal header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/EnvironmentMap.h","8","#if _MSC_VER > 1000","CEnvironmentMap header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/FontManager.cpp","12","#ifdef _WIN32","CFontManager Windows include boundary","Echte Platform Boundary","guards Windows font-directory headers","replace direct Windows directory lookup with PlatformFilesystem while preserving the Windows font fallback","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/FontManager.cpp","119","#ifdef _WIN32","CFontManager system-font fallback","Echte Platform Boundary","guards the C:/Windows/Fonts fallback and GetWindowsDirectoryA","move the Windows-only lookup behind PlatformFilesystem; do not add an Android branch","retained-windows-only","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/SkyBox.h","8","#if _MSC_VER > 1000","CSkyBox header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/StdAfx.h","14","#if _MSC_VER >= 1400","EterLib precompiled header warnings","Unnötig","warning controls are always selected by the supported MSVC baseline","make the required warning settings unconditional or target-scoped while dismantling header leakage","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/GameLib/MonsterAreaInfo.h","8","#if _MSC_VER > 1000","CMonsterAreaInfo header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/GameLib/StdAfx.h","17","#if _MSC_VER >= 1400","GameLib precompiled header warnings","Unnötig","warning controls are always selected by the supported MSVC baseline","make the required warning settings unconditional or target-scoped while dismantling header leakage","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/GameLib/TerrainDecal.h","8","#if _MSC_VER > 1000","CTerrainDecal header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/GameLib/TerrainPatch.h","8","#if _MSC_VER > 1000","CTerrainPatch header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/GameLib/TerrainQuadtree.h","8","#if _MSC_VER > 1000","CTerrainQuadtree header guard","Unnötig","pragma-once optimization is unconditional on every supported compiler and an include guard already exists","remove the obsolete compiler-version branch in a later header-cleanup pass","deferred","9aa71a2674e271becd586743ab02019a68900348"
