"file","line","owner_or_function","dependency","category","current_role","c2x_action","target_boundary","result_status","baseline_revision"
"src/EterBase/StdAfx.h","7","EterBase precompiled include","windows.h; mmsystem.h","D - Time / Sleep","Win32 types and multimedia timer leak through a shared base header","remove umbrella leakage; include Windows headers only in implementation files","PlatformTime / Windows","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/StdAfx.h","22","EterLib precompiled include","dinput.h; mmsystem.h; process.h; direct.h; winsock.h","B - Input","DirectInput, timer, thread, path and Winsock declarations leak into nearly all EterLib translation units","replace consumers with neutral interfaces and confine headers to Windows implementations","PlatformInput / PlatformTime / PlatformFilesystem / PlatformNetworking / Windows","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/StdAfx.h","25","UserInterface precompiled include","dshow.h","J - bewusst Windows-only Feature","DirectShow types leak through the whole executable PCH","move include into the Windows-only video implementation","UserInterface/Windows/Video","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterImageLib/StdAfx.h","17","EterImageLib precompiled include","windows.h","C - Filesystem / Paths","Windows scalar and HRESULT definitions leak through the image library PCH","use fixed-width or local result types; keep Win32 only at file/screenshot boundary","PlatformFilesystem / Windows","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLocale/StdAfx.h","8","EterLocale precompiled include","windows.h","H - Cursor / Clipboard / Shell","locale library receives broad Win32 declarations from its PCH","remove broad include and include narrow APIs only in Windows locale/IME code","Platform/Windows","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/Renderer/DrawStateTypes.h","2","renderer draw-state types","windows.h","Include Boundary","otherwise fixed-width renderer vocabulary carried an unnecessary Windows umbrella include","remove the unnecessary Windows include; keep the already fixed-width vocabulary unchanged","neutral Renderer header","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterGrnLib/Material.h","4","CGrannyMaterial","windows.h; DWORD","J - bewusst Windows-only Feature","Granny material header uses Windows scalar aliases","retain Granny behavior but use neutral fixed-width aliases outside Windows code","Granny adapter boundary","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterImageLib/DDSImageData.h","2","DDS image decoder","Windows.h; HRESULT","J - bewusst Windows-only Feature","image-decoder public result is a Win32 HRESULT","keep D3D11-specific result behind renderer/image adapter or use neutral result","Renderer image adapter","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterImageLib/Image.h","4","CImage","windows.h; DWORD","C - Filesystem / Paths","generic image header imports Win32 for scalar aliases","use fixed-width types in the neutral header","EterImageLib neutral core","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/CRC32.h","4","CRC/file checksum API","windows.h; HANDLE; DWORD","I - Debug / Diagnostics","public checksum header accepts a native file handle","keep handle overload in Windows implementation; expose path/bytes API to core","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Debug.h","4","debug/log API","windows.h; HWND","I - Debug / Diagnostics","core debug header exposes optional HWND for message boxes","use opaque native handle or Windows-only overload","Platform diagnostics / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileBase.h","4","CFileBase","windows.h; HANDLE","C - Filesystem / Paths","generic file class stores a Win32 file handle in its public class definition","hide implementation handle or route through PlatformFilesystem","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileDir.h","4","CFileDir","windows.h; HANDLE; WIN32_FIND_DATA","C - Filesystem / Paths","directory iterator stores Win32 enumeration state","move native enumeration into a Windows implementation/Pimpl","PlatformFilesystem / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/FileLoader.h","5","CDiskFileLoader","windows.h; DWORD","C - Filesystem / Paths","disk loader header depends on Windows scalar types","use fixed-width sizes while preserving the documented INT_MAX legacy limit","PlatformFilesystem","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Timer.h","3","ELTimer / CTimer","windows.h; DWORD","D - Time / Sleep","widely included timer header exposes Win32 types","expose neutral duration/tick types; implement clock on Windows","PlatformTime / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/Utils.h","4","filesystem/process helpers","windows.h; FreeLibrary macro","C - Filesystem / Paths","unrelated helpers expose Win32 types and a dynamic-library macro","split path/time/library operations into platform services","PlatformFilesystem / PlatformDynamicLibrary","partial","9aa71a2674e271becd586743ab02019a68900348"
"src/EterBase/lzo.h","5","LZO wrapper","windows.h; DWORD","C - Filesystem / Paths","compression header uses Windows scalar aliases","use fixed-width serialized sizes without changing pack format","Pack/serialization neutral boundary","deferred","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.h","13","CMSWindow::Create","HWND ecosystem; DWORD styles; HICON","A - Window / Event Loop","game-facing base class owns Win32 create/style vocabulary","adapt legacy CMSWindow to PlatformWindow without changing styles or behavior","PlatformWindow / Win32Window","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.h","38","CMSWindow::GetWindowHandle / GetInstance","HWND; HINSTANCE","A - Window / Event Loop","native handles are public to all callers","return opaque NativeWindowHandle and expose HINSTANCE only in Windows interop","Platform NativeTypes","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.h","41","CMSWindow::WindowProcedure / OnSize","LRESULT; HWND; WPARAM; LPARAM","A - Window / Event Loop","game application override is a Win32 WndProc contract","translate native messages at Win32 boundary; preserve callback behavior","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","10","MSWindowProcedure","GetWindowLongPtr; DefWindowProc","A - Window / Event Loop","global Win32 thunk routes MSG values to CMSWindow","move unchanged thunk into Win32Window implementation","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","51","CMSWindow::Destroy","IsWindow; DestroyWindow","A - Window / Event Loop","legacy class directly destroys HWND","delegate destroy and validity checks to PlatformWindow","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","63","CMSWindow::Create","RegisterClassW; CreateWindowW; SetWindowLongPtrW","A - Window / Event Loop","legacy class directly registers and creates the main window","delegate create while preserving title conversion, style and userdata thunk","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","94","CMSWindow visibility methods","ShowWindow","A - Window / Event Loop","show/hide state and Win32 call are coupled","delegate visibility; retain cached state semantics","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","140","CMSWindow screen/rect methods","GetSystemMetrics; GetWindowRect; GetClientRect","A - Window / Event Loop","geometry queries directly use Win32","provide neutral size/rect query and keep screen metrics in Windows backend","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","161","CMSWindow::GetMousePosition","GetCursorPos; ScreenToClient","H - Cursor / Clipboard / Shell","cursor conversion is embedded in window class","route through platform window/cursor service","PlatformWindow / PlatformCursor","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","167","CMSWindow position/size methods","SetWindowPos; AdjustWindowRectEx; MoveWindow","A - Window / Event Loop","move/resize operations are direct Win32 calls","delegate while preserving flags and client-size semantics","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSWindow.cpp","218","CMSWindow::RegisterWindowClass","WNDCLASSW; LoadCursor; LoadIcon; RegisterClassW","A - Window / Event Loop","class registration and default resources are embedded in core library","confine to Win32Window implementation","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSApplication.cpp","14","CMSApplication::Initialize","HINSTANCE","A - Window / Event Loop","process instance is copied into CMSWindow static state","pass through opaque PlatformWindow creation data","Platform NativeTypes / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSApplication.cpp","24","CMSApplication::IsMessage","PeekMessage","A - Window / Event Loop","game loop probes the Win32 queue directly","replace with PlatformWindow event-poll result","PlatformWindow::PollEvents","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSApplication.cpp","34","CMSApplication::MessageProcess","GetMessage; TranslateMessage; DispatchMessage","A - Window / Event Loop","blocking one-message pump is hardwired to Win32","implement equivalent poll/dispatch inside Win32Window","PlatformWindow::PollEvents","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/EterLib/MSApplication.cpp","46","CMSApplication::WindowProcedure","WM_CLOSE; PostQuitMessage","A - Window / Event Loop","quit policy is expressed in WndProc override","translate close/quit without changing exit behavior","PlatformWindow / Windows","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/UserInterface.cpp","301","WinMain","HINSTANCE; LPSTR","A - Window / Event Loop","productive entry point is intrinsically Windows","retain Windows entry shim and pass opaque instance to neutral startup","UserInterface/Windows entry point","retained-interop","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplicationProcedure.cpp","48","CPythonApplication::WindowProcedure","HWND; WPARAM; LPARAM; WM_*","A - Window / Event Loop","main application handles raw Win32 messages and state transitions","keep translation in Windows boundary; preserve exact callbacks and minimize/focus behavior","PlatformWindow / Windows message translation","implemented","9aa71a2674e271becd586743ab02019a68900348"
"src/UserInterface/PythonApplication.cpp","582","CPythonApplication::Process","GetClientRect","A - Window / Event Loop","frame loop queries native client rect","use neutral client size","PlatformWindow","implemented","9aa71a2674e271becd586743ab02019a68900348"
