"File","Line","Class","Function","API","Category","NormalClientReachability","DiligentAlternative","M11Action","CallChain"
"extern/include/d3d9.h","176","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","177","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","179","-","declaration/global","IDirect3DStateBlock9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","180","-","declaration/global","IDirect3DResource9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","181","-","declaration/global","IDirect3DVertexDeclaration9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","182","-","declaration/global","IDirect3DVertexShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","183","-","declaration/global","IDirect3DPixelShader9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","184","-","declaration/global","IDirect3DBaseTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","185","-","declaration/global","IDirect3DTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","186","-","declaration/global","IDirect3DVolumeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","187","-","declaration/global","IDirect3DCubeTexture9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","189","-","declaration/global","IDirect3DVertexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","190","-","declaration/global","IDirect3DIndexBuffer9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","192","-","declaration/global","IDirect3DSurface9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","193","-","declaration/global","IDirect3DVolume9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","195","-","declaration/global","IDirect3DSwapChain9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","196","-","declaration/global","IDirect3DQuery9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","202","-","declaration/global","IDirect3D9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","203","-","declaration/global","IDirect3DDevice9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","204","-","declaration/global","IDirect3DSwapChain9Ex","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","207","-","declaration/global","IDirect3DAuthenticatedChannel9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","208","-","declaration/global","IDirect3DCryptoSession9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","214","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","214","-","declaration/global","IDirect3D9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","215","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","215","-","declaration/global","IDirect3DDevice9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
"extern/include/d3d9.h","217","-","declaration/global","IDirect3DStateBlock9","E","SDK declaration / external library implementation, not client draw","Diligent API, or retained asset dependency","No SDK edit","external header; not a game call chain"
