"File","Line","Class","MemberOrReference","NativeType","Creator","Owner","Readers","DiligentReachable","LegacyOnly","ToolDebugOnly","Category","M13AAction"
"src/EterGrnLib/Material.cpp","148","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DTEXTURE9 CGrannyMaterial::GetD3DTexture(int iStage) const","LPDIRECT3DTEXTURE9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.cpp","158","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","return pTexture->GetD3DTexture();","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.h","61","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DTEXTURE9		GetD3DTexture(int iStage) const;","LPDIRECT3DTEXTURE9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.cpp","75","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DINDEXBUFFER9 CGrannyModel::GetD3DIndexBuffer() const","LPDIRECT3DINDEXBUFFER9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.cpp","77","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","return m_idxBuf.GetD3DIndexBuffer();","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.cpp","80","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DVERTEXBUFFER9 CGrannyModel::GetPNTD3DVertexBuffer() const","LPDIRECT3DVERTEXBUFFER9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.cpp","82","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","return m_pntVtxBuf.GetD3DVertexBuffer();","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.h","44","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DVERTEXBUFFER9 GetPNTD3DVertexBuffer() const;","LPDIRECT3DVERTEXBUFFER9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Model.h","45","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DINDEXBUFFER9 GetD3DIndexBuffer() const;","LPDIRECT3DINDEXBUFFER9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/ModelInstance.h","147","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","IDirect3DVertexBuffer9* __GetDeformableD3DVertexBufferPtr();","IDirect3DVertexBuffer9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
