"File","Line","Class","MemberOrReference","NativeType","Creator","Owner","Readers","DiligentReachable","LegacyOnly","ToolDebugOnly","Category","M13AAction"
"src/EffectLib/EffectMeshInstance.cpp","168","Image/effect/world draw callers","STATEMANAGER.SetTexture(0, pImageInstance->GetTexturePointer()->GetD3DTexture());","wrapper/native creation or getter (see statement)","image or mesh wrappers","borrowed resource owned by image/mesh","existing Diligent bridge and native state binding","True","False","False","A","bind neutral image identity; retain CPU geometry and Legacy getters where native-only"
"src/EffectLib/EffectRenderBridge.cpp","61","UI/Effect/World/TreeRenderBridge","if(auto* texture=image->GetTexturePointer()->GetD3DTexture()) textureNames[texture]=image->GetFileName();","wrapper/native creation or getter (see statement)","image registration and state capture","image owns source; subsystem owns Diligent handles","texture identity and material validation","True","False","False","A","neutral binding identity; CPU/file upload remains source"
"src/EffectLib/EffectRenderBridge.cpp","79","UI/Effect/World/TreeRenderBridge","IDirect3DBaseTexture9* bound=nullptr; NativeStateView().GetTexture(0,&bound);","IDirect3DBaseTexture9","image registration and state capture","image owns source; subsystem owns Diligent handles","texture identity and material validation","True","False","False","A","neutral binding identity; CPU/file upload remains source"
"src/EffectLib/ParticleSystemInstance.h","29","Image/effect/world draw callers","STATEMANAGER.SetTexture(0, m_kVct_pkImgInst[dwFrameIndex]->GetTextureReference().GetD3DTexture());","wrapper/native creation or getter (see statement)","image or mesh wrappers","borrowed resource owned by image/mesh","existing Diligent bridge and native state binding","True","False","False","A","bind neutral image identity; retain CPU geometry and Legacy getters where native-only"
"src/EterGrnLib/Material.cpp","142","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DTEXTURE9 CGrannyMaterial::GetD3DTexture(int iStage) const","LPDIRECT3DTEXTURE9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.cpp","152","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","return pTexture->GetD3DTexture();","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.cpp","287","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","STATEMANAGER.SetTexture(0, GetD3DTexture(0));","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.cpp","315","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","STATEMANAGER.SetTexture(0, GetD3DTexture(0));","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.cpp","318","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","STATEMANAGER.SetTexture(1, pkTexture->GetD3DTexture());","wrapper/native creation or getter (see statement)","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
"src/EterGrnLib/Material.h","61","CGrannyMaterial/CGrannyModel/CGrannyModelInstance","LPDIRECT3DTEXTURE9		GetD3DTexture(int iStage) const;","LPDIRECT3DTEXTURE9","material images and model/deform buffers","image refs/model/local or shared deform wrapper","Actor and static-object submissions; native mesh loops","True","False","False","A","neutral material bindings and CPU geometry existence tests; no Granny algorithm change"
