"path","line","category","text"
"tests\Renderer\StartupOptionsTest.cpp","15","E: test/tool guard, fixture or historical audit (not normal client)","for(auto value : {L""--renderer=legacy-d3d9"",L""--renderer="",L""--renderer=vulkan"","
"tests\Renderer\StartupOptionsTest.cpp","22","E: test/tool guard, fixture or historical audit (not normal client)","explicitDiligent.ParseArgument(L""--renderer=legacy-d3d9"");"
"tests\Renderer\run_trees.ps1","8","E: test/tool guard, fixture or historical audit (not normal client)","if($Backend -eq 'legacy') { $start.ArgumentList='--renderer=legacy-d3d9' }"
"tests\Renderer\run_startup_case.ps1","17","E: test/tool guard, fixture or historical audit (not normal client)","'removed' { @('--renderer=legacy-d3d9','--renderer-smoke-test') }"
"tests\Renderer\run_mounts.ps1","8","E: test/tool guard, fixture or historical audit (not normal client)","if($Backend -eq 'legacy') { $start.ArgumentList='--renderer=legacy-d3d9' }"
"tests\Renderer\run_m13b_rejection.ps1","7","E: test/tool guard, fixture or historical audit (not normal client)","$argument=if($Case -eq 'legacy') { '--renderer=legacy-d3d9' } else { '--renderer=invalid-m13b' }"
"tests\Renderer\run_actor_regression.ps1","9","E: test/tool guard, fixture or historical audit (not normal client)","if($Backend -eq 'legacy') { $start.ArgumentList='--renderer=legacy-d3d9' }"
"tests\Renderer\NoLegacyArchitecture.cmake","1","E: test/tool guard, fixture or historical audit (not normal client)","# ZiiNAN: Removed final D3D9 compile-time dependency."
"tests\Renderer\NoLegacyArchitecture.cmake","8","E: test/tool guard, fixture or historical audit (not normal client)","if(source MATCHES ""(d3d9[a-zA-Z0-9_]*|d3dx9[a-zA-Z0-9_]*)[.]h|IDirect3D|LPDIRECT3D|D3DX[A-Za-z0-9_]*|Direct3DCreate9|CreateDeviceEx|D3D(RS_|TSS_|SAMP_|TS_|FMT_|POOL_|USAGE_|FVF_|PT_)|D3D(FORMAT|POOL|USAGE|PRIMITIVETYPE|CULL|BLEND|CMPFUNC|TEXTUREADDRESS|TEXTUREFILTERTYPE|TRANSFORMSTATETYPE|RENDERSTATETYPE|MATERIAL9|LIGHT9|COLORVALUE|VIEWPORT9|CAPS9|PRESENT_PARAMETERS)|M2_ENABLE_DILIGENT_D3D11"")"
"tests\Renderer\MathTest.cpp","1","E: test/tool guard, fixture or historical audit (not normal client)","// ZiiNAN: Removed final D3D9 compile-time dependency. Analytic CPU contracts."
"tests\Renderer\DiligentGpuTest.cpp","1","E: test/tool guard, fixture or historical audit (not normal client)","// ZiiNAN: Production GPU regression without a D3D9 reference device."
"tests\Renderer\audit_d3d9.ps1","2","E: test/tool guard, fixture or historical audit (not normal client)","param([string]$Output='docs/renderer-milestone11-d3d9.csv')"
