asset,bytes,sha256,production,instances,branchLODs,frondLODs,leafLODs,nearBranchVertices,nearBranchTriangles,nearFrondVertices,nearFrondTriangles,nearLeaves,farBillboard,collisions,texturesAvailable
d:/ymir work/tree/b1_baobab_rt.spt,6689,1d20b68d50ce007b4814da28936b1992ccb399f1c264df3a5dcaa8b92de5be5e,True,9,6,4,4,393,616,100,50,65,True,2,True
d:/ymir work/tree/b1_baobab_rt2.spt,6689,9e5b696ab020cd18232e18c866454c5d52deb1076998db0a1fbf8703d1599741,True,6,6,4,4,393,616,112,56,70,True,2,True
d:/ymir work/tree/b1_beech_rt.spt,6796,de17c0c13f956cf75d92997063a12c5dbca1a26234ad14a5f868a03362a11b48,True,346,6,4,4,282,402,100,50,109,True,2,True
d:/ymir work/tree/b1_beech_rt2.spt,6796,cdb81537efcda4c26781463a6018d59c42edcb12ca3d5b724c029810bf434de9,True,522,6,4,4,302,430,112,56,138,True,2,True
d:/ymir work/tree/b1_beech_rt3.spt,6796,9d7ee35f949b4764090b1a916ade1005b622b31fea49b2d4b8586076711c8fc7,False,0,6,4,4,302,430,116,58,130,True,2,True
d:/ymir work/tree/b1_beech_rt4.spt,6796,25d677d269f8cfc38ca1cd3f692810cb293ab13db46b576b278cc695f7cf3f16,True,567,6,4,4,282,402,96,48,114,True,2,True
d:/ymir work/tree/b1_montereycypress_rt.spt,8873,66392538f04a55d484f9c92cdc9d19d21341f499f30162d288e75812669f1f04,True,233,6,4,4,560,675,108,54,102,True,2,True
d:/ymir work/tree/b1_montereycypress_rt2.spt,8873,0b90a99d6480452b12b5f78a9b61e453180ec4a83f4246bdf1b91c02b949f4e8,True,222,6,4,4,600,756,116,58,81,True,2,True
d:/ymir work/tree/b1_montereycypress_rt3.spt,8873,f6691c8b816eea9bc8c49189d7f780f531ed9ec82d432fbba3a847d0776c27db,True,340,6,4,4,865,1035,188,94,171,True,2,True
d:/ymir work/tree/b1_montereycypress_rt4.spt,8873,d7ca320772595a77c28856c45a36674e18918b9e7bc5101cd5cb8cdf12de27e1,True,310,6,4,4,520,675,96,48,100,True,2,True
d:/ymir work/tree/b1_montereycypress_rt5.spt,8873,cb9102770aca71a6e269e806c6e6e74e5d4cb8096abbf078180ab27c8e1367c3,True,211,6,4,4,825,981,160,80,112,True,2,True
d:/ymir work/tree/b1_pagodatree_rt.spt,8071,2851666e8f3556aa6606642bcd529672ab45b0f8db1304d6fbb4466900a2ca5a,True,668,6,4,4,447,694,120,60,122,True,2,True
d:/ymir work/tree/b1_pagodatree_rt2.spt,8091,d35194db82fe4ca4a7668f95d5d95f116ab6b08c326b7baf0c0ab074276db953,True,641,6,4,4,495,764,112,56,130,True,3,True
d:/ymir work/tree/b1_pagodatree_rt3.spt,8071,a566eff0304a67971167e4e7d3bf254ab0c7a33478fcd657cec613c16058e900,True,606,6,4,4,423,659,92,46,119,True,2,True
d:/ymir work/tree/b1_sassafras_rt_fall.spt,6672,1bc5e65c0e4efcb60f7ea930f683b80001b8dd97762b6d25281946a295685149,True,240,6,4,4,342,486,56,28,119,True,2,True
d:/ymir work/tree/b1_sassafras_rt_fall2.spt,6716,5c6dabb419b86756136240a32b532746d6f86759c8e744f1701c24bcb840262a,True,141,6,4,4,342,486,56,28,108,True,4,True
d:/ymir work/tree/b2_cedaroflebanon_rt.spt,5419,d76530cfba5e75a94a9634fd76f86a02126c22bd51cccfc3d995eff8974742f2,True,49,6,4,4,49,78,570,456,113,True,2,True
d:/ymir work/tree/b2_cedaroflebanon_rt2.spt,5419,73d757a146ca27a9459ccc3027cd9464ce415f1a6731771cbff37827a3ee1caa,True,17,6,4,4,49,78,590,472,106,True,2,True
d:/ymir work/tree/b2_cedaroflebanon_rt3.spt,5419,fd2e5bb94c5223e1eaca97544e757e135252edb05f0ddfa991e3abad3fb78b3f,True,40,6,4,4,49,78,560,448,100,True,2,True
d:/ymir work/tree/b2_ivyspy_rt.spt,6657,50557c6da89615d82f9d81799315549bed25e9ae09dd128a6f161f83a17f04f5,True,10,6,4,4,345,546,282,188,108,True,2,True
d:/ymir work/tree/b2_ivyspy_rt2.spt,6657,d012fcd397e8dac1d1778b3ad700ee36f08d282bd53ca6466a7232824e453f5a,True,7,6,4,4,345,546,318,212,120,True,2,True
d:/ymir work/tree/b2_ivyspy_rt3.spt,6657,065babe8c785f54d23b99e91e9d505b91eadaae1dff492bcfe236b657acf9272,True,3,6,4,4,345,546,294,196,98,True,2,True
d:/ymir work/tree/b2_ivyspy_rt4.spt,6657,61f67291ff5d7c49014991dddb3d03550ae18e157f1acf62daf249ca40206bf3,True,3,6,4,4,345,546,330,220,98,True,2,True
d:/ymir work/tree/b2_ivyspy_rt5.spt,6657,f40054b4e07fdc6071f8b5bd6ad85782d5207c51fa116bfb8e0aca4d8675badd,True,10,6,4,4,345,546,324,216,83,True,2,True
d:/ymir work/tree/b2_ivyspy_rt_winter.spt,6580,80422882e2d1ec63f6c5080c9c308634b8e8acc1342ebe1ebc74039fe2384631,True,172,6,4,4,345,546,282,188,0,True,2,True
d:/ymir work/tree/b2_ivyspy_rt_winter2.spt,6560,8c9d519de4a1652c2b923e11927be3818942235052cc67e6825d9705a09feaeb,True,230,6,4,4,345,546,306,204,0,True,1,True
d:/ymir work/tree/b2_japanesemaple_rt_fall.spt,6616,fa2b9ac46f0f3be36f386fb8630f034393bde37d9cc5b2ec8b38470bdbb14c59,True,0,6,4,4,156,224,188,94,43,True,2,True
d:/ymir work/tree/b2_japanesemaple_rt_fall2.spt,6616,86b5d9065583eabca29ad89b7ccb67ac640bada57af8504c6448027fa05bd655,True,1,6,4,4,120,168,140,70,49,True,2,True
d:/ymir work/tree/b2_redoak_rt.spt,8762,13292b7af3472178d07e40005acd73b09d61f1d9f9570606cc74f115a42a1637,True,14,6,4,3,585,689,252,126,118,True,2,True
d:/ymir work/tree/b2_redoak_rt2.spt,8762,55ee1c716113b30ebc1e4166698765f041f1c094bf28d4ec86f8ca61202e5116,True,16,6,4,3,537,605,188,94,81,True,2,True
d:/ymir work/tree/b2_redoak_rt3.spt,8762,c50b043a6ceed03fbdac17cd0a861b1de1d06f4c5933a9078d073f42867e1a22,True,12,6,4,3,585,689,252,126,105,True,2,True
d:/ymir work/tree/b2_redoak_rt4.spt,8762,0d62629ce2423bdfce51595038cab213dec628acb4cf063b0b271279a28e8832,True,15,6,4,3,585,647,228,114,92,True,2,True
d:/ymir work/tree/b3_beech_rt.spt,6796,eace2fb1af759da813559a33d38690596a066397983994cfea75232441ca3086,True,94,6,4,4,282,402,100,50,109,True,2,True
d:/ymir work/tree/b3_beech_rt2.spt,6796,65846f0ea0ac8ace155a11cc6a41631d3330e6db25ba9a9c8b8171b96fdfde67,True,108,6,4,4,302,430,108,54,132,True,2,True
d:/ymir work/tree/b3_beech_rt3.spt,6796,09c12d2bf8ef2c5ada7d54323b7b11816bebc56cc3fddd7373aba4eed7d3527e,True,505,6,4,4,282,402,92,46,98,True,2,True
d:/ymir work/tree/b3_beech_rt_fall.spt,6805,e622c7689d6525c09b22244a9a112ce9448c1c189cbe7f0468da9de82b8d9c36,True,132,6,4,4,282,402,104,52,120,True,2,True
d:/ymir work/tree/b3_beech_rt_fall2.spt,6805,8aaf7a77ff61d8dd3828057df396ae27a6471faa7db94a6f2c93c0522ce22aa0,True,78,6,4,4,302,430,116,58,78,True,2,True
d:/ymir work/tree/b3_pagodatree_rt_winter.spt,7951,6600b5cae4c4f473b5cea7e9d90614ffeb3559807d4605d6d729ab7b3182eb77,True,57,6,4,4,447,694,56,28,0,True,2,True
